event_id n event dist az channel stream loc time unc pol toang phase residual tot_wt dist_wt st_q_wt T50 Aref T50Ex Tdom s/n_HF s/n_BRB mB Mwp T0 Mwpd status
-1 508 -1 -1 -1 GE_MAHO_--_BHZ HF L 2003.05.21-19:37:34.55 0.050 0 -1.0 -1 -1 -1 -1 1.000 368.270 600.144 0.614 -1.000 3.232 1.550 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
-1 500 -1 -1 -1 PN_PPPHS_--_BHZ HF L 2003.05.21-19:33:45.10 0.300 0 -1.0 -1 -1 -1 -1 1.000 291.298 1487.438 0.196 26.284 3.283 3.170 -9.000 -9.000 13.500 -9.000 OK_HF_BRB
-1 489 -1 -1 -1 PN_PPPHS_--_BHZ HF L 2003.05.21-19:30:52.10 0.150 1 -1.0 -1 -1 -1 -1 1.000 459.348 315.551 1.456 28.256 1.346 11.280 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
-1 486 -1 -1 -1 MN_VSL_--_BHZ HF L 2003.05.21-19:30:37.96 0.100 0 -1.0 -1 -1 -1 -1 1.000 56.567 175.397 0.323 -1.000 5.056 0.973 -9.000 -9.000 14.402 -9.000 s/n_BRB_low
-1 485 -1 -1 -1 GE_CART_--_BHZ HF L 2003.05.21-19:30:20.06 0.100 0 -1.0 -1 -1 -1 -1 1.000 147.272 86.790 1.697 -1.000 3.094 0.835 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
-1 484 -1 -1 -1 GE_MAHO_--_BHZ HF L 2003.05.21-19:30:07.75 0.200 0 -1.0 -1 -1 -1 -1 1.000 167.534 328.482 0.510 -1.000 4.516 0.925 -9.000 -9.000 11.300 -9.000 s/n_BRB_low
-1 482 -1 -1 -1 GE_KWP_--_BHZ HF L 2003.05.21-19:28:58.00 0.100 0 -1.0 -1 -1 -1 -1 1.000 0.000 104.258 0.000 -1.000 3.194 1.008 -9.000 -9.000 11.600 -9.000 s/n_BRB_low
-1 478 -1 -1 -1 CN_LLLB_--_BHZ HF L 2003.05.21-19:26:43.70 0.050 0 -1.0 -1 -1 -1 -1 1.000 0.000 261.727 0.000 -1.000 3.978 0.759 -9.000 -9.000 13.050 -9.000 s/n_BRB_low
-1 476 -1 -1 -1 GE_KWP_--_BHZ HF L 2003.05.21-19:26:36.80 0.100 -1 -1.0 -1 -1 -1 -1 1.000 0.000 103.933 0.000 -1.000 4.328 1.268 -9.000 -9.000 11.300 -9.000 s/n_BRB_low
-1 474 -1 -1 -1 US_JCT_--_BHZ BRB - 2003.05.21-19:26:31.36 0.100 0 -1.0 -1 -1 -1 -1 1.000 30.181 79.301 0.381 -1.000 4.805 0.675 -9.000 -9.000 35.185 -9.000 s/n_BRB_low
-1 465 -1 -1 -1 US_SSPA_--_BHZ HF L 2003.05.21-19:22:59.83 0.200 -1 -1.0 -1 -1 -1 -1 1.000 0.000 37.446 0.000 -1.000 3.851 1.466 -9.000 -9.000 -1.000 -9.000 s/n_BRB_low
1053544392321 463 4 52.44 60.7 KN_EKS2_--_BHZ HF L 2003.05.21-19:22:23.50 0.150 1 23.1 P -0.77 0.840 0.840 1.000 2.649 8.162 0.325 -1.000 3.667 0.660 -9.000 -9.000 11.771 -9.000 s/n_BRB_low
1053544392321 456 4 48.14 48.6 KZ_VOS_--_BHZ HF L 2003.05.21-19:21:53.29 0.075 1 24.1 P 1.76 0.871 0.871 1.000 0.000 5.487 0.000 -1.000 3.366 0.924 -9.000 -9.000 11.375 -9.000 s/n_BRB_low
-1 454 -1 -1 -1 US_MCWV_--_BHZ HF L 2003.05.21-19:21:44.10 0.075 -1 -1.0 -1 -1 -1 -1 1.000 48.995 374.437 0.131 -1.000 22.346 0.746 -9.000 -9.000 35.337 -9.000 s/n_BRB_low
1053544392321 453 4 46.92 48.5 KZ_ZRN_--_BHZ HF L 2003.05.21-19:21:41.54 0.125 -1 24.4 P -0.56 0.879 0.879 1.000 4.441 13.071 0.340 -1.000 8.975 0.826 5.292 -9.000 13.550 -9.000 s/n_BRB_low
-1 452 -1 -1 -1 PN_PPPHS_--_BHZ BRB - 2003.05.21-19:21:07.55 0.300 -1 -1.0 -1 -1 -1 -1 1.000 221.000 371.868 0.594 60.266 1.284 3.470 -9.000 -9.000 -1.000 -9.000 s/n_HF_low
1053544392321 451 4 40.79 43.7 II_ARU_00_BHZ HF L 2003.05.21-19:20:54.19 0.150 1 25.9 P 1.40 0.923 0.923 1.000 14.604 37.044 0.394 -1.000 4.307 1.213 5.235 -9.000 14.213 -9.000 s/n_BRB_low
