network station location channel phase dist_min_res dist_max_res n_data mean std_dev coeff0 coeff1 coeff2 coeff3 year month day
AF BLWY -- BHZ P 10.39 98.1 57 0.514561403509 1.22483682612 0.514561403509 0.0 0.0 0.0 2016 6 3
AF POGA -- BHZ P 17.87 95.04 64 0.267734375 1.54366328101 0.267734375 0.0 0.0 0.0 2016 6 3
AF WIN -- BHZ P 30.54 87.93 21 1.46523809524 1.4978939183 1.46523809524 0.0 0.0 0.0 2016 6 3
AK ATKA -- BHZ P 0.13 92.36 520 -0.482286538462 1.34490995774 -0.810058932284 0.078303257136 -0.00184424199844 1.09200867856e-05 2016 6 3
AK GAMB -- BHZ P 5.41 93.84 282 0.276035460993 1.50834936253 0.178206490007 0.0752221859755 -0.00168429607124 8.84330460846e-06 2016 6 3
AK TNA -- BHZ P 2.69 97.66 321 0.502261682243 1.49241902002 0.997298318565 0.0357441070849 -0.000836347704038 2.66671594246e-06 2016 6 3
AT AKUT -- BHZ P 0.8 94.51 282 0.347024822695 1.61126437038 0.316224942353 0.0687207879957 -0.00187509398025 1.17986611782e-05 2016 6 3
AT CRAG -- BHZ P 4.04 94.21 132 1.18606060606 1.58399563746 -3.03210883913 0.283089546766 -0.00478078718621 2.39263090263e-05 2016 6 3
AT SKAG -- BHZ P 0.57 98.6 553 1.03100180832 1.41590700497 -1.86603894436 0.164428522938 -0.00227902969631 8.90674867693e-06 2016 6 3
AT SMY -- BHZ P 0.84 87.79 264 -0.228083333333 1.64259780359 -1.85287407406 0.225221371609 -0.0048204664818 2.7200646447e-05 2016 6 3
AT TTA -- BHZ P 1.67 99.49 1068 0.304867977528 1.42715549218 -0.33794915075 0.0546775841231 -0.000840939134114 3.05286913709e-06 2016 6 3
AU ARMA -- BHZ P 10.58 97.41 1360 0.555323529412 1.22197084554 0.67882297775 -0.0187442501762 0.000886948220461 -9.94435162822e-06 2016 6 3
AU COEN -- BHZ P 6.79 90.08 1753 -0.0109361095265 1.35052928506 0.0484190720232 0.0477727541975 -0.00163261242109 8.27005020624e-06 2016 6 3
AU EIDS -- BHZ P 12.81 99.27 1315 0.0105581749049 1.15483128509 2.47930278722 -0.141233249443 0.00238252281758 -1.45540732005e-05 2016 6 3
AU FITZ -- BHZ P 6.76 96.42 1272 -1.00152201258 1.17652278256 -3.10164696406 0.139431489314 -0.0023933146647 1.11759163986e-05 2016 6 3
AU FORT -- BHZ P 5.13 96.28 1813 -0.930327082184 1.03536034695 -1.03668521389 0.0529157842319 -0.00157119752433 1.00437174975e-05 2016 6 3
AU GIRL -- BHZ P 7.55 96.4 551 0.611041742287 1.26640013642 -1.98596400353 0.132048382484 -0.00144610332648 1.29166842182e-06 2016 6 3
AU HTT -- BHZ P 0.83 95.11 1766 -0.391764439411 1.0470484197 -1.12041891675 0.0679357413968 -0.00144094776178 7.1973851006e-06 2016 6 3
AU KDU -- BHZ P 5.26 97.31 2111 -1.04031406916 1.14895433457 -0.922663977737 0.0254035344586 -0.00100183016872 6.95968735429e-06 2016 6 3
AU LHI -- BHZ P 14.03 92.48 178 1.32178651685 1.24005975774 3.24820928013 -0.12946060688 0.00241329628972 -1.59495952652e-05 2016 6 3
AU MANU -- BHZ P 0.87 80.52 302 1.43858940397 1.97442954046 1.22982577068 0.141063006151 -0.00606732064396 5.14159889109e-05 2016 6 3
AU MAW -- BHZ P 22.85 98.51 956 0.793777196653 1.29275269256 -0.475782949678 -0.0206720016099 0.00149301155005 -1.27336664474e-05 2016 6 3
AU MCQ -- BHZ P 1.01 94.85 68 0.806558823529 1.66125499568 0.806558823529 0.0 0.0 0.0 2016 6 3
AU MILA -- BHZ P 5.88 99.43 203 0.3570591133 1.16409289312 1.16477763353 -0.029990727796 0.000477972236939 -4.30884071268e-06 2016 6 3
AU MORW -- BHZ P 6.35 98.15 1436 -0.71560097493 1.19776520369 1.26983867437 -0.0971410240007 0.0016888825614 -1.11665304809e-05 2016 6 3
AU MTN -- BHZ P 5.02 94.6 1708 -0.862214285714 1.30920782596 -0.12506085378 -0.0128952400923 -0.000202120752377 1.21193760852e-07 2016 6 3
AU NFK -- BHZ P 6.75 94.27 149 1.16009395973 1.78510391984 -1.66401536645 0.305076063565 -0.00684951492624 4.0357786097e-05 2016 6 3
AU NIUE -- BHZ P 2.13 79.93 394 0.21461928934 1.3902370392 -0.304487253008 0.0504512937744 0.000448330275036 -1.17198149811e-05 2016 6 3
AU QLP -- BHZ P 6.74 97.86 1631 -0.509392397302 1.11193307244 -2.1845708079 0.157015267993 -0.00372416307522 2.291636939e-05 2016 6 3
AU RABL -- BHZ P 0.18 91.26 471 0.156692144374 1.70126100438 -0.231128524406 0.115732750479 -0.00394655031279 2.91045470889e-05 2016 6 3
AU RIV -- BHZ P 18.11 90.44 179 1.07020111732 1.15818339634 3.12083161882 -0.159989255854 0.00402565281386 -2.99732038408e-05 2016 6 3
AU TOO -- BHZ P 3.22 94.24 1154 0.289305025997 1.04436643863 -0.15148917796 0.0331610968677 -0.000516566995233 9.07090820589e-07 2016 6 3
AU WRKA -- BHZ P 1.5 97.18 2631 -1.21967350817 1.123635984 -2.20999237991 0.116536756789 -0.00292763312461 1.89059935196e-05 2016 6 3
AU XMI -- BHZ P 1.5 87.96 222 -0.0263963963964 1.55606716101 -0.369894695988 -0.0583516230801 0.00291165198414 -2.58612426056e-05 2016 6 3
BK CMB 00 BHZ P 1.42 96.42 1080 0.843672222222 1.10873772962 -0.216714044922 0.0230040228396 0.000143622916711 -3.11822037114e-06 2016 6 3
BK HUMO 00 BHZ P 2.34 98.02 646 1.06749071207 1.34374896225 -0.569874485522 0.105059969519 -0.00206154868708 1.24704852318e-05 2016 6 3
BK MCCM 00 BHZ P 2.49 92.32 121 1.11862809917 1.1938314519 -0.969899738403 0.115696387394 -0.00159394107983 5.85313810218e-06 2016 6 3
BK SAO 00 BHZ P 3.05 93.85 243 1.27841975309 1.23321029888 -0.536509426842 0.114096130724 -0.00172211612688 7.15133553587e-06 2016 6 3
BK WDC 00 BHZ P 1.53 98.6 825 0.512791515152 1.37877147553 -0.347448534484 0.0278058485536 -0.000373772439844 2.19200801007e-06 2016 6 3
C1 BO02 -- BHZ P 0.34 94.87 348 0.254281609195 1.46590700391 0.674371242908 -0.0799175224355 0.00146928546463 -5.58067937707e-06 2016 6 3
C1 CO02 -- BHZ P 0.44 93.66 205 -0.152390243902 1.83457791371 -0.699337093257 -0.0220143942694 0.000623035767683 -9.1619271443e-08 2016 6 3
C1 LL01 -- BHZ P 1.48 86.32 61 -0.197540983607 1.11570554021 -0.197540983607 0.0 0.0 0.0 2016 6 3
C1 LL02 -- BHZ P 2.3 96.09 187 0.412727272727 1.90227751033 0.31609675235 0.0237733048568 -0.00224042526765 2.5482790968e-05 2016 6 3
C1 MG02 -- BHZ P 4.98 95.73 102 0.913333333333 1.5130340205 1.81616593512 -0.0906497123271 0.00174014614595 -7.05991750713e-06 2016 6 3
C1 VA04 -- BHZ P 5.04 46.96 129 0.0413178294574 1.06343736581 0.984541257774 -0.19811840564 0.00939625350219 -0.000116092088988 2016 6 3
CI PHL -- BHZ P 2.6 95.88 277 1.341566787 1.30225250787 -2.61080202651 0.205041816988 -0.00314369577245 1.52350115275e-05 2016 6 3
CN BBB -- BHZ P 1.69 97.76 187 0.630304812834 1.47023088602 -3.82482644234 0.292103372352 -0.00492226615229 2.47890388055e-05 2016 6 3
CN DAWY -- BHZ P 4.8 97.78 317 0.0159936908517 1.21706407992 -0.918221429358 0.0167290132054 0.000707680192665 -9.39496485815e-06 2016 6 3
CN DRLN -- BHZ P 10.52 96.46 389 -0.285053984576 1.1597928404 -4.12107073508 0.281111289543 -0.00576779113377 3.54216027839e-05 2016 6 3
CN EUNU -- BHZ P 13.57 99.38 593 0.328676222597 1.059182045 -2.08623805212 0.127504487194 -0.00218842171241 1.2239555242e-05 2016 6 3
CN FRB -- BHZ P 7.35 97.98 903 -0.382004429679 1.13762705242 3.19020568622 -0.209598783427 0.00349593688633 -1.73275301664e-05 2016 6 3
CN GAC -- BHZ P 18.36 97.01 488 -0.401954918033 1.04308188426 -2.55658072434 0.181356348815 -0.00413598782842 2.75477690909e-05 2016 6 3
CN ICQ -- BHZ P 12.21 95.24 204 -0.363794117647 1.11230177036 -3.99762236713 0.270329571392 -0.00587492551081 3.85033997771e-05 2016 6 3
CN INK -- BHZ P 3.29 99.59 2112 -0.0963300189394 1.25440264762 -2.4961466526 0.108696972361 -0.00112371509301 1.84462741421e-06 2016 6 3
CN KAPO -- BHZ P 16.36 98.69 464 -0.753362068966 1.30811919719 -5.60775449729 0.324157151975 -0.00669054344405 4.25171077623e-05 2016 6 3
CN KGNO -- BHZ P 17.44 93.44 152 -0.316973684211 0.928182043883 -3.79194949867 0.237174430937 -0.0049982908402 3.26846892759e-05 2016 6 3
CN LLLB -- BHZ P 3.58 97.12 185 0.684810810811 1.04160677086 -0.675745255908 0.0769022112914 -0.00115850017207 5.10588981639e-06 2016 6 3
CN MNTQ -- BHZ P 20.81 92.24 141 -0.249985815603 0.990141916133 2.29996617645 -0.053668388451 -0.000681131541268 1.2510345765e-05 2016 6 3
CN PNT -- BHZ P 2.28 95.93 399 0.643609022556 0.880595109145 1.5904857802 -0.0759392576794 0.00169618936115 -1.09642048661e-05 2016 6 3
CN RES -- BHZ P 2.07 99.48 1125 0.0296853333333 1.16889907316 -0.81711820551 0.0304807958771 -0.000547181735232 4.10416267328e-06 2016 6 3
CN SADO -- BHZ P 15.65 97.71 445 -0.821552808989 1.18209904923 -4.17466502828 0.231240346992 -0.00494620229294 3.28311405811e-05 2016 6 3
CN SCHQ -- BHZ P 7.8 99.15 693 -0.348461760462 1.13151614631 1.284604148 -0.0827070952732 0.00129687633333 -6.42951298054e-06 2016 6 3
CN ULM -- BHZ P 8.52 98.92 951 -1.0630168244 1.30670630926 -4.02494932556 0.128916341604 -0.00208191782279 1.23871064698e-05 2016 6 3
CN VLDQ -- BHZ P 18.03 96.79 518 -0.485982625483 1.13852465261 0.333253398322 0.00948801461945 -0.00135671701245 1.41907717236e-05 2016 6 3
CN WALA -- BHZ P 5.97 97.49 403 0.409727047146 1.01993106534 1.0408800476 -0.0761197713754 0.001806139811 -1.15285844447e-05 2016 6 3
CN WHY -- BHZ P 2.45 97.34 324 0.743475308642 1.30410702851 -1.93555872213 0.178864031573 -0.00283418925479 1.24589924174e-05 2016 6 3
CN YKAW3 -- BHZ P 15.95 98.75 23 0.20652173913 1.41825952458 0.20652173913 0.0 0.0 0.0 2016 6 3
CN YKW3 -- BHZ P 4.67 98.31 275 -0.283854545455 1.03116777784 -1.48566638115 0.0330662271187 0.000223243352037 -5.18932485794e-06 2016 6 3
CU ANWB 00 BHZ P 0.1 80.78 152 -1.82167763158 1.48894789559 -0.282817920173 -0.014018553203 -0.00207580332824 2.63020820381e-05 2016 6 3
CU BBGH 00 BHZ P 0.9 74.4 39 1.54512820513 1.4151564388 1.54512820513 0.0 0.0 0.0 2016 6 3
CU BCIP 00 BHZ P 1.9 97.77 283 0.358053003534 1.65118268833 -1.82830250277 0.236179473859 -0.00495032971814 2.65254405811e-05 2016 6 3
CU GRGR 00 BHZ P 1.22 88.57 176 0.158130681818 1.4731923005 0.714159074118 0.0733191570855 -0.00424526827963 3.92875606005e-05 2016 6 3
CU GRTK 00 BHZ P 3.2 93.33 118 0.0285762711864 1.83088271834 -3.56978067546 0.386013684038 -0.00979036828876 6.83931831134e-05 2016 6 3
CU GTBY 00 BHZ P 0.82 93.01 247 0.601801619433 1.76394191929 -2.26133025239 0.366589492817 -0.0102371337537 7.25173404346e-05 2016 6 3
CU MTDJ 00 BHZ P 2.04 93.39 290 0.77525862069 1.61713357583 -2.56007794628 0.394510598976 -0.0106260011958 7.52261624546e-05 2016 6 3
